JFCR label,p110a prot,p110b prot,p110É¬ prot,p110É¡ prot, Akt1 prot,Akt2 prot,Akt3 prot,p-Akt (Ser473),p-Akt (Thr308),p-mTOR,p-p70S6K,p-GSK3É¿,p-TSC2,p-MEK,p-ERK,PTEN prot,ERBB1/EGFR prot,ERBB2/HER2 prot,ERBB3/HER3 prot
A549_Lu,0.137606971,0.197211976,0.111690478,0.380597909,0.121281465,0.266871166,0.102941176,0.413934426,0.090188305,0.303485329,0.131733569,0.127360963,0.174962681,0.146904512,0.102832067,0.366549825,0.228882834,0.002179836,0.066059226
ACHN_Re,0.098283989,0.394782308,0.566803998,0.733191592,0.169336384,0.161042945,0.165441176,0.086065574,0.066402379,0.630103288,0.058889512,0.265670678,0.320430279,0.099685204,0.486780715,0.285247606,0.991825613,0.025613079,0.043280182
BSY-1_Br,0.359552647,0.858714439,0.65422918,0.443971465,0.61784897,0.06595092,0.301470588,0.864754099,0.514370664,0.233242184,0.062572218,0.062005339,0.321614103,0.072402938,0.082426127,0,0.147138964,0.023978202,0.287637192
DMS114_Lu,1,0.132132025,0.888150983,1,0.130434783,0.102760736,0.867647059,0,0,1,0.235375953,0.168805994,0.076524484,0.62224554,0.278179804,0.499248873,0.016348774,0.025613079,0.167529509
DMS273_Lu,0.667178526,0.620551069,0.119647341,0.484134765,0.091533181,0.06595092,0.154411765,0.737704918,0.24876115,0.185355075,0.126118974,0.348932471,0.287883413,0.070304302,0.114301231,0.134201302,0.021798365,0.001089918,0.028784427
DU-145_xPg,0.092659559,0.47482998,0,0.35512846,0.210526316,0.343558282,0.169117647,0.024590164,0.026759168,0.255248285,0.278097284,0.271375642,0.061018346,0.067156348,0.216174184,0.305595894,0.217983651,0.024523161,0.25657486
HBC-4_Br,0.225152851,0.345474595,0.131504915,0.338125093,0.157894737,0.136503068,0.411764706,0.463114754,0.418235877,0,0.315199103,0.14433807,0.276479513,0.074501574,0.261275272,0.340295389,0.457765668,0.013079019,0.105404846
HBC-5_Br,0.079768184,0.700601084,0.154760871,0.355164582,0.075514874,0.5,0.246323529,0.319672131,0.291377601,0.195665994,0.067640163,0,0.49360964,0.162644281,0.34525661,0.203645522,1,0.245776567,0.349761855
HCC2998_Co,0.187214098,0.175622373,0.17446651,0.554542572,0.146453089,0.101226994,0.143382353,0.028688525,0.023785927,0.212753745,0.235375953,0.11514971,0.257691411,0.080797482,0.030294255,0.146219329,0.095367847,0.032152589,0.372540899
HCT-116_Co,0.12710831,0.484051663,0.145598084,0.443374452,0.196796339,0.013803681,0.051470588,0.049180328,0.033696729,0.349680594,0.534758596,0.266841175,0.18453269,0.253934942,0.256609642,0.39559339,0.114441417,0.009809264,0.113688134
HCT-15_Co,0.297086163,0.883275554,0.15819879,0.780923121,0.295194508,0.009202454,0.147058823,0.008196721,0.017839445,0.189145668,0.434945864,0.206846686,0.124627262,0.088142707,0.147744946,0.334276415,0.335149864,0.041416894,0.449161317
HT-29_Co,0.165049113,0.735409917,0.131669455,0.333917133,0.114416476,0.119631902,0.058823529,0.323770492,0.022794846,0.266265387,0.049775659,0.2293795,0.099978309,1,0.280954592,0.340010015,0.188010899,0.016893733,0.14889211
KM-12_Co,0.215993285,0.82971068,0.056812361,0.607812232,0.075514874,0.035276074,0.025735294,0.459016394,0.298315163,0.303485329,0.072910825,0.101856329,0.341473959,0.151101784,0.0269729,0,0.089918256,0.013079019,0.372540899
LOX-IMVI_Me,0.237612708,0.075640083,0.428755531,0.64110025,0.075514874,0,0.088235294,0.086065574,0.014866204,0.115356031,0,0.390421605,0.180252589,0.44386149,1,0.089702865,0.10626703,0,0
MCF-7_Br,0.197176674,0.513685099,0.04358873,0.475973946,0.663615561,0.291411043,0.415441176,0.393442623,0.074331021,0.327393445,1,0.188803945,0.170021098,0.075550892,0.020217729,0.599238912,0.005449591,0.011989101,0.581693932
MDA-MB-231_Br,0.536067861,0.34751144,0.212716805,0.125070411,0.315789474,0.049079755,1,0.090163934,0.025768087,0.464573238,0.012338755,0.034906665,0.094944489,0.662119622,0.838258165,0.680059067,0.719346049,0.009264305,0.022571961
MKN1_St,0.46518552,0.336340864,0.423181894,0.553553425,0.260869565,0.154907976,0.360294118,0.204918033,0.330029732,0.126695621,0.121284352,0.941081568,0.737616093,0.363064008,0.33437014,0.385703555,0.359673025,0.017438692,0.003934562
MKN28_St,0.295831561,0.186879878,0.282998102,0.341802346,0,0.059815951,0.411764706,0.221311476,0.054509415,0.28259802,0.081323612,0.348112779,0.162332179,0.119622245,0.474339036,0.309551828,0.283378747,0.017983651,0.244149927
MKN45_St,0.122406893,1,0.160158254,0.367907027,0.180778032,0.087423313,0.169117647,0.528688525,0.208126858,0.39670271,0.21014442,0.405316827,0.332058434,0.091290661,0.127527216,0.432185779,0.141689373,0.008719346,0.434665562
MKN7_St,0.166938824,0.001829564,0.180098594,0.517762286,0.086956522,0.119631902,0.158088235,0.045081967,0.047571853,0.149011936,0.01501944,0.249400916,0.149928654,0.138509968,0.309486781,0.530589634,0.277929155,0.027792916,0.202733485
MKN74_St,0.282604287,0,0.094463948,0.298509703,0.038901602,0.059815951,0.183823529,0.12704918,0.098116947,0.295961082,0.066601234,0.274514889,0.282044981,0.061909759,0.186625195,0.200269154,0.294277929,0.00653951,0.157175399
NCI-H226_Lu,0.177023981,0.294215379,0.198633541,0,0.249427918,0.082822086,0.643382353,0.155737705,0.019821606,0.102228042,0.06329621,0.044484896,0.108552583,0.187827912,0.221449311,0.330495744,0.460490463,0.009264305,0.184096086
NCI-H23_Lu,0.142336535,0.472629472,0.121133302,0.516521539,0.089244851,0.042944785,0.246323529,0.209016393,0.037661051,0.836006989,0.924705552,0.309419646,0.148715263,0.411332634,0.477302034,0.544817226,0.029972752,0.003269755,0.066059226
NCI-H460_Lu,0,0.445925803,0.080415111,0.42232516,0.178489703,0.015337423,0,0.479508197,0.069375619,0.195015784,0.018227706,0.177885139,0.29944515,0.289611752,0.212588285,1,0.144414169,0.001634877,0.018430317
NCI-H522_Lu,0.509030595,0.52461938,0.490521201,0.407934379,0.409610984,0.024539877,0.172794117,0.159836066,0.062438057,0.990024756,0.253785754,0.21216814,0.116417836,0.838405037,0.378755681,0.721582374,0,0.040326975,0.022571961
OVCAR-3_Ov,0.078931345,0.556700077,0.390026233,0.665140629,0.089244851,1,0.044117647,1,0.074331021,0.605378556,0.055243971,0.218221222,0.679594052,0.044071354,0.083981337,0.313709812,0.253405995,0.021798365,0.21722924
OVCAR-4_Ov,0.205669604,0.605216481,0.274731487,0.237874339,0.14187643,0.098159509,0.06617647,0.024590164,0.046580773,0.452769199,0.29669097,0.274012609,0,0.046169989,0.172628305,0.400910506,0.098092643,0.009264305,0.21722924
OVCAR-5_Ov,0.151350743,0.215374934,0.106854475,0.315675019,0.256292906,0.058282209,0.080882353,0.237704918,0.075322101,0.136983059,0.100673023,0.101856329,0.082268273,0.232948583,0.169517885,0.238738484,0.313351499,0.029972752,0.536135846
OVCAR-8_Ov,0.105341159,0.455532475,0.8543813,0.875857848,0.135011442,0.18404908,0.308823529,0.139344262,0.151635283,0.403866753,0.495881451,0.411100017,0.401952251,0.196222455,0.233281493,0.107405732,0.081743869,0.011444142,1
PC-3_xPg,0.478269802,0.712342346,0.190160939,0.304281032,0.384439359,0.11809816,0.139705882,0.807377049,0.351833499,0.108878204,0.120535757,0.093886131,0.363022305,0,0,0,0.04359673,0.014168937,0.022571961
RXF-631L_Re,0.153570375,0.12967549,0.353671546,0.300799299,0.256292906,0.035276074,0.555147059,0.110655738,0.061446977,0.258348044,0.001402131,0.310719624,0.257356495,0.388247639,0.786936236,0.28487228,0.70027248,0.011989101,0.016359495
SF-268_CNS,0.22920159,0.037688946,1,0.420291921,1,0.076687117,0.448529411,0.426229508,0.219028741,0.249247898,0.220783914,0.190794802,0.36481488,0.122770199,0.494556765,0.173400518,0.19346049,0.010354223,0.04120936
SF-295_CNS,0.367633837,0.282215038,0.108529497,0.52824779,0.260869565,0.105828221,0.125,0.459016394,0.613478692,0.2885779,0.3568424,0.985193703,1,0.028331584,0.115085537,0,0.351498638,0.007084469,0
SF-539_CNS,0.245378509,0.106605895,0.225043476,0.367047317,0.132723112,0.130368098,0.37867647,0.680327869,0.78493558,0.160640833,0.257992148,1,0.692413829,0.039874082,0.155520995,0,0.160762943,0.005449591,0
SK-OV-3_Ov,0.400967136,0.756493516,0.170267546,0.307573564,0.208237986,0.130368098,0.323529412,0.610655738,0.53617443,0.090666259,0.23022995,0.271003811,0.221283373,0.225603358,0.443234837,0.216406599,0.316076294,1,0.01221785
SNB-75_CNS,0.776314443,0.301964885,0.161753209,0.342806697,0.402745995,0.239263804,0.724264706,0.446721312,0.376610505,0.268184743,0.140213124,0.563686782,0.866510885,0.049317943,0.228615863,0.660948729,0.04359673,0.016348774,0.331124456
SNB-78_CNS,0.170508539,0.124323095,0.148504053,0.314585516,0.164759725,0.386503068,0.433823529,0.274590164,0.699702676,0.314369244,0.144560672,0.845321452,0.618751274,0.046169989,0.143079316,0,0.177111716,0.01253406,0
St-4_St,0.417061072,0.84681338,0.138619556,0.3099794,0.05034325,0.090490798,0.25,0.31147541,0.267591675,0.876140721,0.360799263,0.390377502,0.37810182,0.109129066,0.119751167,0,0.645776567,0.035422343,0.063988403
U251_CNS,0.442302887,0.303789114,0.363596775,0.601370683,0.212814645,0.055214724,0.275735294,0.286885246,1,0.047638756,0.222195455,0.615351308,0.669700914,0.054564533,0.115085537,0,0.138964578,0.008174387,0
